nucleus_id,Mean_normalized_w1405-0001,Mean_normalized_w1405-0002,Mean_normalized_w1405-0003,Mean_normalized_w1405-0004,Median_normalized_w1405-0001,Median_normalized_w1405-0002,Median_normalized_w1405-0003,Median_normalized_w1405-0004,Area_w1405-0001,Area_w1405-0002,Area_w1405-0003,Area_w1405-0004,total_intensity_w1405-0001,total_intensity_w1405-0002,total_intensity_w1405-0003,total_intensity_w1405-0004,Skew_w1405-0001,Skew_w1405-0002,Skew_w1405-0003,Skew_w1405-0004,Kurt_w1405-0001,Kurt_w1405-0002,Kurt_w1405-0003,Kurt_w1405-0004,ratio_RNAPII_to_DNA,cell_cycle,ratio_RNAPII_to_DNA_MvsI,RNAPII_abs_MvsI
MAX_IF43b-2_014_thumb0001-0583,14.353,68.791,7.166,126.059,15.0,67.0,8.0,122.0,30546.0,30546.0,30546.0,30546.0,438426.738,2101289.886,218892.636,3850598.214,0.304,0.207,0.174,3.486,-0.339,-0.985,-0.622,15.477,4.792795931164217,I,0.6201221348009285,0.19292976707182058
MAX_IF43b-2_003_thumb0015-1142,31.239,382.995,6.117,158.445,31.0,404.0,7.0,137.0,25109.0,25109.0,25109.0,25109.0,784380.051,9616621.455,153591.753,3978395.505,0.552,-0.12,2.139,4.189,0.047,-0.532,16.304,21.284,12.260155574762317,I,1.5862961739258363,1.0741395842431702
MAX_IF43b-2_003_thumb0016-1214,29.073,283.155,8.398,156.467,29.0,288.0,3.0,141.0,22578.0,22578.0,22578.0,22578.0,656410.194,6393073.59,189610.044,3532711.926,0.425,0.12,1.718,3.054,-0.156,-0.585,3.937,10.861,9.73944897327417,I,1.2601512719996824,0.7941304559494897
MAX_IF43b-2_012_thumb0001-0135,80.251,373.081,39.743,164.181,80.0,402.0,41.0,138.0,21824.0,21824.0,21824.0,21824.0,1751397.824,8142119.744,867351.232,3583086.144,-0.074,-0.068,1.256,4.322,-0.456,-0.714,6.168,24.534,4.648926493127812,I,0.6015074004518961,1.046334991916412
MAX_IF43b-2_012_thumb0002-0238,52.32,335.571,46.107,162.223,51.0,362.0,48.0,140.0,14034.0,14034.0,14034.0,14034.0,734258.88,4709403.414,647065.638,2276637.582,0.71,-0.178,0.821,3.719,0.744,-0.286,3.815,20.935,6.41381880733945,I,0.8298602878482139,0.9411352483036721
MAX_IF43b-2_012_thumb0003-0206,127.995,326.161,66.83,174.957,128.0,348.0,69.0,150.0,7225.0,7225.0,7225.0,7225.0,924763.875,2356513.225,482846.75,1264064.325,-0.117,0.099,0.366,2.659,-0.747,-0.362,-0.253,9.204,2.548232352826282,I,0.32970635706151946,0.914744163595704
MAX_IF43b-2_012_thumb0004-0275,127.16,302.489,67.861,175.452,130.0,320.0,68.0,151.0,6974.0,6974.0,6974.0,6974.0,886813.84,2109558.286,473262.614,1223602.248,-0.223,0.258,0.514,2.039,-0.617,-0.171,-0.134,4.79,2.378806228373702,I,0.30778493760290704,0.8483541787703033
MAX_IF43b-2_012_thumb0005-0391,54.024,360.126,32.412,159.687,52.0,378.0,33.0,136.0,14641.0,14641.0,14641.0,14641.0,790965.384,5272604.766,474544.092,2337977.367,0.895,0.082,0.35,3.828,1.049,-0.719,3.232,20.552,6.6660373167481115,I,0.8624939077095991,1.0100016760405641
MAX_IF43b-2_003_thumb0001-0119,42.288,492.412,42.328,191.417,42.0,486.0,42.0,159.0,12920.0,12920.0,12920.0,12920.0,546360.96,6361963.04,546877.76,2473107.64,0.351,0.261,0.77,3.738,0.421,-0.719,2.61,22.578,11.644248959515702,I,1.5066062954978245,1.3810081618724732
MAX_IF43b-2_011_thumb0012-1327,34.104,214.42,-20.036,156.758,33.0,227.0,-22.0,136.0,13623.0,13623.0,13623.0,13623.0,464598.792,2921043.66,-272950.428,2135514.234,0.701,-0.054,2.716,3.721,0.457,-0.443,22.707,19.291,6.287239033544452,I,0.8134825991930439,0.601357745279757
