 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
39,MAX_IF43b-2_001_thumb_w1405-0002:0011-1141,-1238457,389.1510,104.7940,533,33,-201,-425.4730,397.6450,-411.9030,377.9270,-12728.0970,76,1078,-940,-1306,-1392.7850,-969.1480,3.0930,0.4660,-1632.3720,-162565666.0000,425,-6.0980,-41.5290,0,-162565666.0000,0,89,1204,-45.9130,-940.0000,0.0100,-0.0040,0.0320
40,MAX_IF43b-2_001_thumb_w1405-0002:0012-1148,-1239267,388.7120,104.2010,254,54,-208,-494.0330,407.0170,-479.2270,384.4330,-12791.6530,1,1083,-950,-1301,-1385.9110,-981.9220,-10.3170,0.6040,-1623.4830,-162992044.0000,397,-5.8060,-41.8600,0,-162992044.0000,0,24,1214,-52.5480,-950.0000,0.3800,-0.1450,0.1050
41,MAX_IF43b-2_001_thumb_w1405-0002:0013-1184,-1240903,207.7800,-6.1410,149,122,-638,383.7990,439.6040,400.2190,418.3940,-12847.4100,874,1144,-925,-1351,-1409.6400,-986.4820,-66.0390,0.6530,-1660.8450,-164760652.0000,229,-5.8920,-41.7540,0,-164760652.0000,0,874,1191,-119.2280,-958.5160,0.1380,-0.0610,0.0880
42,MAX_IF43b-2_001_thumb_w1405-0002:0014-1225,-1240800,234.1210,-22.0460,233,158,-616,409.2620,489.2160,425.1570,465.9960,-12843.0250,892,1183,-922,-1348,-1407.5340,-986.5150,-63.2320,0.6460,-1657.6290,-164589696.0000,246,-5.5400,-40.7610,0,-164589696.0000,0,892,1228,-118.3050,-957.5430,0.1720,-0.0740,0.0770
43,MAX_IF43b-2_001_thumb_w1405-0002:0015-1271,-1244801,262.8540,35.5480,204,55,-415,-74.6530,532.0420,-59.5790,511.2830,-12997.5770,441,1253,-979,-1395,-1466.6590,-1016.7210,-59.6760,0.6290,-1711.2100,-166027876.0000,262,-5.4760,-40.9940,0,-166027876.0000,0,443,1289,-96.4000,-987.4970,-0.1390,0.0750,0.0600
43,MAX_IF43b-2_001_thumb_w1405-0003:0001-0180,-1230059,60.9620,4.1920,55,57,-52,-442.8020,-560.0250,-440.4180,-537.1890,-12638.5570,14,112,-859,-1295,-1343.0630,-929.3650,-71.1590,0.7050,-1594.0660,-234175060.0000,58,-0.0010,-4.1660,0,-234175060.0000,0,21,214,-103.3190,-896.7250,-0.0550,0.0280,0.0960
44,MAX_IF43b-2_001_thumb_w1405-0003:0002-0218,-1230088,33.0660,-2.4530,25,58,-80,-29.9350,-522.5880,-26.5110,-498.1880,-12657.0430,429,152,-867,-1299,-1357.5390,-918.1440,-83.0330,0.7660,-1602.9170,-234625005.0000,30,1.5290,7.4550,0,-234625005.0000,0,429,223,-120.8350,-893.3280,-0.2820,0.1700,0.1260
45,MAX_IF43b-2_001_thumb_w1405-0003:0003-0385,-1223739,37.7970,4.9140,30,48,4,-42.9290,-360.6110,-38.6040,-336.5410,-12547.8290,402,303,-844,-1268,-1333.7490,-890.1790,-75.7550,0.7070,-1571.6000,-233096256.0000,33,1.2890,3.1350,0,-233096256.0000,0,405,409,-103.4850,-860.4440,-0.3360,0.2120,0.1060
46,MAX_IF43b-2_001_thumb_w1405-0003:0004-0474,-1235003,44.8310,4.0760,56,42,-112,-288.5960,-265.3350,-285.8030,-241.8020,-12723.1850,178,415,-892,-1314,-1371.9770,-949.5770,-59.3010,0.7030,-1620.7830,-235598246.0000,45,-1.1530,-7.3040,0,-235598246.0000,0,181,499,-96.4340,-923.6210,-0.0650,0.0330,0.1060
47,MAX_IF43b-2_001_thumb_w1405-0003:0005-0535,-1240889,36.6250,3.9470,13,44,-142,365.3950,-209.9150,368.5050,-186.3910,-12853.3100,867,487,-946,-1336,-1414.7480,-982.8820,-9.3890,0.6860,-1663.2890,-237028891.0000,35,-1.0130,-8.1480,0,-237028891.0000,0,894,487,-26.6870,-955.4010,-0.0210,0.0110,0.0950
48,MAX_IF43b-2_001_thumb_w1405-0003:0006-0559,-1240499,44.8330,12.8220,15,46,-124,418.4070,-176.5290,421.7120,-154.6560,-12836.6820,910,508,-939,-1329,-1413.4850,-978.6350,-1.5560,0.6570,-1656.0610,-236895272.0000,40,-0.8910,-8.3740,0,-236895272.0000,0,945,508,-26.1960,-950.3290,-0.0880,0.0460,0.0770
