nucleus_id,Mean_normalized_w1405-0001,Mean_normalized_w1405-0002,Mean_normalized_w1405-0003,Mean_normalized_w1405-0004,Median_normalized_w1405-0001,Median_normalized_w1405-0002,Median_normalized_w1405-0003,Median_normalized_w1405-0004,Area_w1405-0001,Area_w1405-0002,Area_w1405-0003,Area_w1405-0004,total_intensity_w1405-0001,total_intensity_w1405-0002,total_intensity_w1405-0003,total_intensity_w1405-0004,Skew_w1405-0001,Skew_w1405-0002,Skew_w1405-0003,Skew_w1405-0004,Kurt_w1405-0001,Kurt_w1405-0002,Kurt_w1405-0003,Kurt_w1405-0004,ratio_RNAPII_to_DNA,cell_cycle,ratio_RNAPII_to_DNA_MvsI,RNAPII_abs_MvsI
MAX_IF43b-1_014_thumb0028-1019,68.924,111.654,11.416,142.35,71.0,126.0,10.0,133.0,7325.0,7325.0,7325.0,7325.0,504868.3,817865.55,83622.2,1042713.75,-0.041,0.131,2.817,1.684,-0.963,0.024,9.0,2.407,1.6199582148453366,M,0.4398122697773726,0.6335386380667628
MAX_IF43b-1_010_thumb0012-1013,81.939,39.343,12.411,139.496,82.0,46.0,13.0,132.0,6989.0,6989.0,6989.0,6989.0,572671.671,274968.227,86740.479,974937.544,-0.092,1.43,2.13,2.042,-1.193,5.427,5.762,4.279,0.48014986758442263,M,0.13035879639387585,0.22323705946460182
MAX_IF43b-1_015_thumb0002-0137,77.436,-8.334,14.481,174.243,76.0,0.0,16.0,148.0,4433.0,4433.0,4433.0,4433.0,343273.788,-36944.622,64194.273,772419.219,0.241,0.915,1.856,6.936,-1.218,0.816,5.409,59.684,-0.10762436076243606,M,-0.02921958971317356,-0.04728814918989378
MAX_IF43b-1_001_thumb0011-1098,68.813,33.495,11.201,134.535,66.0,36.0,12.0,130.0,7208.0,7208.0,7208.0,7208.0,496004.104,241431.96,80736.808,969728.28,0.12,0.605,2.159,2.295,-0.966,-0.394,11.927,5.971,0.4867539563745222,M,0.13215178046838316,0.19005478247126137
MAX_IF43b-1_015_thumb0004-0175,128.976,8.169,7.497,184.067,139.0,14.0,10.0,163.0,6135.0,6135.0,6135.0,6135.0,791267.76,50116.815,45994.095,1129251.045,-0.149,1.633,0.745,9.388,-1.472,3.402,0.383,103.165,0.06333736509117976,M,0.017195844958957453,0.046351918734370334
MAX_IF43b-1_014_thumb0031-1116,32.469,142.622,3.103,133.279,33.0,162.0,4.0,127.0,11402.0,11402.0,11402.0,11402.0,370211.538,1626176.044,35380.406,1519647.158,0.063,-0.092,3.962,3.382,-0.994,-0.829,21.394,13.893,4.392559056330654,M,1.1925624691994816,0.8092549092585832
MAX_IF43b-1_010_thumb0017-1090,75.828,66.229,14.174,135.476,73.0,70.0,16.0,131.0,6754.0,6754.0,6754.0,6754.0,512142.312,447310.666,95731.196,915004.904,0.083,0.369,1.327,2.397,-1.239,-0.876,2.591,7.162,0.8734108772485097,M,0.2371276103609797,0.37579155659916913
MAX_IF43b-1_012_thumb0028-0926,112.147,9.699,11.968,153.663,116.0,17.0,12.0,142.0,6102.0,6102.0,6102.0,6102.0,684320.994,59183.298,73028.736,937651.626,-0.081,0.581,1.199,1.958,-1.192,-0.179,1.4,3.619,0.08648470311287863,M,0.02348025598964532,0.05503332841286055
MAX_IF43b-1_006_thumb0006-0373,127.841,52.075,28.432,150.4,117.0,54.0,30.0,139.0,7194.0,7194.0,7194.0,7194.0,919688.154,374627.55,204539.808,1081977.6,0.198,0.491,0.894,1.863,-1.398,-0.489,1.117,2.942,0.407341932556848,M,0.11059172902829054,0.2954800058871753
MAX_IF43b-1_012_thumb0026-0879,107.538,72.724,3.994,150.216,109.0,81.0,6.0,137.0,5547.0,5547.0,5547.0,5547.0,596513.286,403400.028,22154.718,833248.152,-0.129,0.139,2.893,1.665,-1.089,-0.735,18.568,2.266,0.6762632743774294,M,0.18360281329812692,0.4126449918029561
MAX_IF43b-1_006_thumb0008-0452,120.316,59.975,28.878,145.971,107.0,63.0,32.0,138.0,7593.0,7593.0,7593.0,7593.0,913559.388,455390.175,219270.654,1108357.803,0.326,0.357,0.442,2.121,-1.277,-0.661,-0.246,4.357,0.49847900528607997,M,0.13533508503005995,0.34030558527284377
MAX_IF43b-1_001_thumb0003-0504,120.113,59.937,16.188,177.309,139.0,63.0,17.0,151.0,7325.0,7325.0,7325.0,7325.0,879827.725,439038.525,118577.1,1298788.425,-0.569,0.512,0.651,1.4,-1.047,0.023,-0.485,1.218,0.4990051035275116,M,0.135477918628834,0.34008996856187473
MAX_IF43b-1_012_thumb0023-0811,119.561,49.63,12.12,158.885,138.0,48.0,13.0,144.0,5078.0,5078.0,5078.0,5078.0,607130.758,252021.14,61545.36,806818.03,-0.427,1.543,1.758,1.852,-1.152,1.997,4.194,2.827,0.4151019145038934,M,0.11269853353860769,0.2816067727735096
MAX_IF43b-1_012_thumb0037-1230,60.522,16.158,0.807,138.137,63.0,24.0,1.0,133.0,6120.0,6120.0,6120.0,6120.0,370394.64,98886.96,4938.84,845398.44,-0.04,0.745,1.715,1.419,-0.995,0.695,3.513,1.716,0.26697729751164867,M,0.07248328390299721,0.09168249515362417
MAX_IF43b-1_010_thumb0004-0385,137.497,38.002,20.4,153.175,149.0,45.0,23.0,141.0,5870.0,5870.0,5870.0,5870.0,807107.39,223071.74,119748.0,899137.25,-0.401,0.375,0.488,1.834,-0.938,-0.423,0.102,3.093,0.2763842120191713,M,0.07503722411160328,0.2156280592169839
MAX_IF43b-1_014_thumb0007-0406,168.863,21.118,10.796,166.448,180.0,32.0,12.0,143.0,4891.0,4891.0,4891.0,4891.0,825908.933,103288.138,52803.236,814097.168,-0.157,0.828,0.842,1.695,-1.234,0.395,0.068,2.789,0.12505995984910845,M,0.03395328613754078,0.1198261500590565
MAX_IF43b-1_013_thumb0028-1369,35.964,102.875,-3.436,142.215,36.0,105.0,0.0,135.0,4097.0,4097.0,4097.0,4097.0,147344.508,421478.875,-14077.292,582654.855,0.203,0.564,1.301,2.322,-1.008,-0.698,4.47,6.641,2.8604993882771663,M,0.776614308397504,0.583725503708942
MAX_IF43b-1_014_thumb0005-0388,174.885,22.976,9.558,174.67,197.0,32.0,11.0,153.0,5845.0,5845.0,5845.0,5845.0,1022202.825,134294.72,55866.51,1020946.15,-0.284,0.964,0.821,1.156,-1.41,0.353,-0.091,0.612,0.13137776252966235,M,0.035668544661789356,0.1303686724006479
MAX_IF43b-1_010_thumb0003-0384,127.873,40.543,20.606,152.832,129.0,46.0,23.0,139.0,6588.0,6588.0,6588.0,6588.0,842427.324,267097.284,135752.328,1006857.216,-0.023,0.563,0.379,1.644,-1.126,-0.452,-0.553,2.258,0.317056767261267,M,0.08607966253670771,0.2300460082320451
MAX_IF43b-1_009_thumb0008-0572,120.277,92.133,18.967,172.79,126.0,109.0,22.0,158.0,6155.0,6155.0,6155.0,6155.0,740304.935,567078.615,116741.885,1063522.45,-0.171,-0.165,0.206,1.301,-0.327,-0.724,-0.417,1.128,0.7660068009677661,I,0.207967827016268,0.5227740639923787
MAX_IF43b-1_009_thumb0013-0948,47.917,146.727,3.535,134.765,44.0,162.0,6.0,128.0,28184.0,28184.0,28184.0,28184.0,1350492.728,4135353.768,99630.44,3798216.76,1.183,0.274,6.141,3.966,1.08,0.065,92.583,19.964,3.06210739403552,I,0.8313500872622304,0.8325471881672122
MAX_IF43b-1_015_thumb0035-1369,36.327,116.001,1.681,141.483,36.0,124.0,3.0,133.0,9577.0,9577.0,9577.0,9577.0,347903.679,1110941.577,16098.937,1354982.691,0.877,0.054,1.685,2.699,0.52,-0.67,4.472,8.24,3.193244694029235,I,0.8669533472933655,0.6582040549768262
MAX_IF43b-1_009_thumb0001-0076,112.769,86.478,24.118,179.123,120.0,97.0,27.0,161.0,15331.0,15331.0,15331.0,15331.0,1728861.539,1325794.218,369753.058,2746134.713,-0.524,3.332,0.775,1.399,-0.452,15.694,1.646,1.388,0.7668596866160026,I,0.2081993821078586,0.4906868929258021
MAX_IF43b-1_009_thumb0014-0951,48.036,214.7,7.582,138.866,45.0,225.0,10.0,131.0,23968.0,23968.0,23968.0,23968.0,1151326.848,5145929.6,181725.376,3328340.288,1.055,0.108,4.597,3.997,1.225,-0.588,34.758,20.995,4.469564493296693,I,1.213469141795642,1.2182344169750654
MAX_IF43b-1_009_thumb0002-0110,66.694,294.738,10.251,151.268,65.0,309.0,13.0,137.0,24103.0,24103.0,24103.0,24103.0,1607525.482,7104070.014,247079.853,3646012.604,0.522,0.059,1.669,4.542,-0.055,-0.541,9.202,27.564,4.419258104177287,I,1.1998111554475053,1.6723799515155886
MAX_IF43b-1_009_thumb0003-0158,57.724,251.935,13.738,147.642,57.0,279.0,14.0,131.0,19549.0,19549.0,19549.0,19549.0,1128446.476,4925077.315,268564.162,2886253.458,0.428,-0.232,6.608,3.832,-0.21,-0.574,55.42,18.008,4.3644757813041375,I,1.1849379707284677,1.4295104231048585
MAX_IF43b-1_010_thumb0020-1310,31.321,131.879,2.024,134.147,29.0,137.0,5.0,128.0,20277.0,20277.0,20277.0,20277.0,635095.917,2674110.483,41040.648,2720098.719,0.837,0.118,4.579,3.605,0.231,-0.682,28.93,19.314,4.210561604035631,I,1.1431508782991473,0.7482977954180469
MAX_IF43b-1_010_thumb0018-1173,41.024,177.359,5.336,140.649,40.0,191.0,8.0,133.0,22930.0,22930.0,22930.0,22930.0,940680.32,4066841.87,122354.48,3225081.57,0.642,-0.163,4.428,3.742,-0.01,-0.927,42.784,19.755,4.3232985569422775,I,1.1737585166266526,1.0063569537041483
MAX_IF43b-1_010_thumb0019-1271,29.363,143.514,5.824,139.807,28.0,150.0,8.0,130.0,18844.0,18844.0,18844.0,18844.0,553316.372,2704377.816,109747.456,2634523.108,1.178,0.012,1.642,3.473,1.444,-0.982,4.482,14.612,4.887579606988387,I,1.3269585974304856,0.8143162278423827
MAX_IF43b-1_009_thumb0007-0570,79.367,316.427,22.332,146.568,79.0,341.0,20.0,137.0,20991.0,20991.0,20991.0,20991.0,1665992.697,6642119.157,468771.012,3076608.888,0.112,-0.07,3.686,3.677,0.064,-1.053,19.332,17.503,3.9868837174140386,I,1.0824232137751333,1.7954460263631535
MAX_IF43b-1_010_thumb0015-1059,76.55,55.732,18.536,139.352,77.0,65.0,21.0,135.0,7676.0,7676.0,7676.0,7676.0,587597.8,427798.832,142282.336,1069665.952,0.043,-0.03,1.317,1.754,-0.808,-0.295,3.674,3.317,0.7280470280862181,I,0.1976618983088037,0.3162302772559588
MAX_IF43b-1_009_thumb0012-0763,120.859,92.844,18.501,164.168,125.0,107.0,21.0,146.0,14008.0,14008.0,14008.0,14008.0,1692992.872,1300558.752,259162.008,2299665.344,-0.149,0.266,0.317,1.437,-0.508,0.162,-0.277,1.464,0.768200961450947,I,0.20856353293850732,0.5268083661370888
MAX_IF43b-1_010_thumb0008-0848,120.895,53.76,13.536,157.947,130.0,60.0,16.0,143.0,11355.0,11355.0,11355.0,11355.0,1372762.725,610444.8,153701.28,1793488.185,-0.493,0.701,0.537,1.843,-0.69,0.607,0.27,3.654,0.4446834029529757,I,0.12072979104818868,0.3050409047814603
MAX_IF43b-1_015_thumb0001-0155,73.264,147.509,14.871,172.036,69.0,156.0,15.0,151.0,21123.0,21123.0,21123.0,21123.0,1547555.472,3115832.607,314120.133,3633916.428,1.74,0.117,2.951,3.809,5.012,-0.967,12.165,17.64,2.0133899322996287,I,0.546627430236621,0.8369843531139959
MAX_IF43b-1_010_thumb0009-0905,60.23,212.785,15.084,147.26,58.0,223.0,15.0,131.0,21304.0,21304.0,21304.0,21304.0,1283139.92,4533171.64,321349.536,3137227.04,0.378,-0.096,3.958,3.908,-0.169,-0.477,22.223,18.704,3.532873983064918,I,0.959161360515435,1.2073684695670206
MAX_IF43b-1_010_thumb0011-1021,46.032,179.921,8.343,140.996,44.0,191.0,11.0,128.0,21966.0,21966.0,21966.0,21966.0,1011138.912,3952144.686,183262.338,3097118.136,2.492,-0.163,2.549,4.278,10.695,-0.715,17.137,22.867,3.908607055961071,I,1.061171408741686,1.0208940593226397
